post,longitude,latitude
30140,-92.1438,15.6546
30153,-85.0594,33.9979
30153,-91.9864,15.7019
30153,-91.964,15.7043
30153,-92.0186,15.6839
30546,-83.7274,34.9063
30546,-93.2452,15.6761
30546,-93.2403,15.6443
30546,-93.2681,15.6156
30546,-93.192,15.589
30546,-93.3011,15.6411
30546,-93.2769,15.6042
30546,-93.1926,15.5708
30546,-93.3043,15.6265
30546,-93.2814,15.6104
30546,-93.2708,15.6236
30160,-84.625,34.0177
30160,-91.832,16.0419
30160,-91.8335,16.1165
30160,-92.0562,16.1078
30160,-91.898,16.0232
30160,-91.8358,16.1646
30160,-91.8603,16.116
30160,-91.6664,16.0816
30160,-91.8993,16.0244
30160,-91.8742,16.0846
30160,-91.975,16.1317
30160,-91.8429,16.0949
30160,-91.9733,16.0297
30160,-91.8631,15.9693
30160,-92.0092,16.1319
30160,-91.8687,16.1519
30160,-91.7783,16.1039
30160,-91.8203,16.0037
30165,-85.2231,34.2837
30165,-91.9519,16.0436
30165,-91.9017,16.0419
30165,-91.9206,15.8222
30165,-92.0075,15.8536
30165,-92.0206,16.1731
30165,-91.9605,15.9869
30548,-83.7803,34.0866
30548,-93.3708,15.7694
30548,-93.4072,15.7719
30548,-93.4058,15.8031
30548,-93.2228,15.6708
30154,-84.7477,33.7515
30154,-92.0133,15.8392
30154,-91.9839,15.8447
30154,-91.9722,15.7556
30154,-91.9854,15.7856
30154,-91.98,15.8019
30154,-91.9764,15.8439
30154,-92.0356,15.8293
30154,-92.0972,15.8756
30154,-92.0235,15.818
30154,-92.129,15.8926
30154,-92.062,15.7117
30152,-84.6544,33.9951
30152,-92.1311,15.6647
30152,-92.1752,15.8702
30152,-92.1744,15.8728
30152,-92.0878,15.7627
30505,-93.8014,15.9625
30505,-93.6641,15.9575
30505,-93.8025,15.9908
30505,-93.7272,15.9878
30505,-93.7486,16.0008
30505,-93.7231,15.9944
30505,-93.5028,15.9011
30505,-93.8064,16.0022
30513,-84.3281,34.8555
30513,-93.5893,15.8097
30513,-93.655,15.8528
30507,-83.7716,34.2591
30507,-93.8097,15.9345
30183,-84.562,34.3217
30183,-91.2801,16.1582
30183,-91.2526,16.097
30183,-91.2942,16.0971
30183,-91.2616,16.2212
30183,-91.1832,16.0804
30183,-91.1558,16.144
30188,-84.5117,34.106
30188,-91.5417,16.3211
30188,-91.6376,16.2919
30188,-91.5667,16.3897
30188,-91.5664,16.3283
30188,-91.549,16.337
30188,-91.5903,16.4917
30188,-91.7022,16.3431
30188,-91.6783,16.3608
30188,-91.6625,16.4842
30188,-91.4689,16.3448
30188,-91.5278,16.4136
30188,-91.4906,16.1351
30188,-91.5036,16.21
30188,-91.4438,16.1443
30172,-85.2337,34.3333
30172,-91.7343,16.1328
30172,-91.7314,16.2631
30172,-91.7579,16.1577
30172,-91.7262,16.2546
30172,-91.7214,16.155
30172,-91.6742,16.1908
30172,-91.6492,16.1733
30172,-91.7222,16.1556
30172,-91.7348,16.2059
30172,-91.6825,16.1728
30172,-91.6611,16.1797
30172,-91.7528,16.1444
30172,-91.7211,16.2244
30182,-85.2197,33.684
30182,-91.2094,16.3053
30182,-91.298,16.2745
30182,-91.3444,16.1892
30182,-91.3389,16.195
30182,-91.3119,16.1981
30182,-91.344,16.2299
30182,-91.2218,16.265
30182,-91.2894,16.2361
30182,-91.3181,16.2243
30182,-91.2111,16.2476
30182,-91.3219,16.1367
30182,-91.2875,16.2419
30182,-91.2486,16.1992
30503,-83.9505,34.3454
30503,-93.8313,16.0807
30503,-93.826,16.0779
30503,-93.8733,16.1369
30503,-93.8732,16.1109
30503,-93.7958,16.0214
30503,-93.8134,16.094
30503,-93.8528,16.0767
30503,-93.8667,16.0508
30503,-93.8001,16.0518
30503,-93.8439,16.0494
30503,-93.8006,16.1322
30503,-93.6907,15.997
30503,-93.8323,16.0404
30503,-93.8047,16.1397
30503,-93.8268,16.0931
30503,-93.8286,16.0539
30500,-93.8272,16.0017
30500,-93.7615,16.0791
30500,-93.7652,16.0881
30500,-93.7683,16.0872
30500,-93.6582,16.0601
30500,-93.7505,16.0851
30500,-93.7591,16.098
30500,-93.8594,16.1547
30500,-93.7783,16.0808
